Number,Structure,Abbreviation,voxcount,volume,x,y,z,,,,,,,volume,x_caudaL_rostral,y_Right_left,z_infgerior_superior,volume_voxels,volume_mm3
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_L,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792,0.852526453,232.87,205.37,173.51,10633,0.8454
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_R,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792,0.852526453,232.87,79.625,173.51,10633,0.8454
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_L,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878,2.083080875,242.46,197.99,174.36,25932,2.0618
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_R,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878,2.083080875,242.46,87.013,174.36,25932,2.0618
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_L,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712,1.693946103,230.35,183.72,182.49,22203,1.7653
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_R,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712,1.693946103,230.35,101.28,182.49,22203,1.7653
30,_29_primary_somatosensory_cortex__jaw_region,S1J_L,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462,1.938851106,278.04,212.72,148.93,24210,1.9249
30,_29_primary_somatosensory_cortex__jaw_region,S1J_R,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462,1.938851106,278.04,72.279,148.93,24210,1.9249
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_L,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980,0.085919054,209.88,193.44,183.8,1075,0.08547
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_R,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980,0.085919054,209.88,91.559,183.8,1075,0.08547
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_L,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766,0.364382468,201.81,184.29,188.64,4563,0.36279
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_R,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766,0.364382468,201.81,100.71,188.64,4563,0.36279
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_L,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256,2.653058197,248.73,228.62,148.34,32925,2.6178
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_R,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256,2.653058197,248.73,56.381,148.34,32925,2.6178
34,_33_secondary_somatosensory_cortex,S2_L,83341,6.611800402,6.2336879,10.123708,5.6463585,33,0,0,33,33,2750253,3.305900201,235.23,239.97,130.68,40675,3.2339
34,_33_secondary_somatosensory_cortex,S2_R,83341,6.611800402,6.2336879,10.123708,5.6463585,33,0,0,33,33,2750253,3.305900201,235.23,45.031,130.68,40675,3.2339
35,_34_temporal_association_cortex,TeA_L,40981,3.251199197,6.0013461,7.3035903,5.9662604,34,0,0,34,34,1393354,1.625599599,169.49,247.07,138.81,21004,1.67
35,_34_temporal_association_cortex,TeA_R,40981,3.251199197,6.0013461,7.3035903,5.9662604,34,0,0,34,34,1393354,1.625599599,169.49,37.926,138.81,21004,1.67
36,_35_primary_visual_cortex,V1_L,8458,V1_L,6.0834885,7.9189582,7.9493213,35,0,0,35,35,296030,#VALUE!,184.19,197.01,185.3,4316,0.34315
36,_35_primary_visual_cortex,V1_R,8458,0.671009561,6.0834885,7.9189582,7.9493213,35,0,0,35,35,296030,0.335504781,184.19,87.99,185.3,4316,0.34315
37,_36_primary_visual_cortex__binocular_area,V1B_L,30447,2.415491617,6.1732273,6.8922014,7.563633,36,0,0,36,36,1096092,1.207745809,160.37,211.96,176.09,15024,1.1945
37,_36_primary_visual_cortex__binocular_area,V1B_R,30447,2.415491617,6.1732273,6.8922014,7.563633,36,0,0,36,36,1096092,1.207745809,160.37,73.04,176.09,15024,1.1945
38,_37_primary_visual_cortex__monocular_area,V1M_L,67875,5.384816024,6.2247615,6.3295937,7.6423244,37,0,0,37,37,2511375,2.692408012,147.62,198.58,178.05,32746,2.6035
38,_37_primary_visual_cortex__monocular_area,V1M_R,67875,5.384816024,6.2247615,6.3295937,7.6423244,37,0,0,37,37,2511375,2.692408012,147.62,86.422,178.05,32746,2.6035
39,_38_secondary_visual_cortex__lateral_area,V2L_L,37579,2.981303888,6.2822714,6.8646069,7.1254792,38,0,0,38,38,1428002,1.490651944,160.05,225.23,165.81,18068,1.4365
39,_38_secondary_visual_cortex__lateral_area,V2L_R,37579,2.981303888,6.2822714,6.8646069,7.1254792,38,0,0,38,38,1428002,1.490651944,160.05,59.767,165.81,18068,1.4365
40,_39_secondary_visual_cortex__mediolateral_area,V2ML_L,17096,1.356299296,6.1499095,7.3543735,8.2095003,39,0,0,39,39,666744,0.678149648,171.06,177.45,191.53,8501,0.67589
40,_39_secondary_visual_cortex__mediolateral_area,V2ML_R,17096,1.356299296,6.1499095,7.3543735,8.2095003,39,0,0,39,39,666744,0.678149648,171.06,107.55,191.53,8501,0.67589
41,_40_secondary_visual_cortex__mediomedial_area,V2MM_L,30263,2.400894104,6.1716371,6.7572803,8.106225,40,0,0,40,40,1210520,1.200447052,157.93,171.44,189.3,14854,1.181
41,_40_secondary_visual_cortex__mediomedial_area,V2MM_R,30263,2.400894104,6.1716371,6.7572803,8.106225,40,0,0,40,40,1210520,1.200447052,157.93,113.56,189.3,14854,1.181
42,_41_ventral_orbital_cortex,V0_L,20907,1.658642337,6.116859,13.199687,6.0755582,41,0,0,41,41,857187,0.829321169,307.18,160.37,142.1,10339,0.82202
42,_41_ventral_orbital_cortex,VO_R,20907,1.658642337,6.116859,13.199687,6.0755582,41,0,0,41,41,857187,0.829321169,307.18,124.63,142.1,10339,0.82202
43,_42_caudomedial_entorhinal_cortex,Cent_L,68149,5.406553624,6.2593145,5.7749434,5.0017295,42,0,0,42,42,2862258,2.703276812,134.5,228.88,115.62,33027,2.6259
43,_42_caudomedial_entorhinal_cortex,Cent_R,68149,5.406553624,6.2593145,5.7749434,5.0017295,42,0,0,42,42,2862258,2.703276812,134.5,56.118,115.62,33027,2.6259
44,_43_dorsal_intermediate_entorhinal_cortex,DIEnt_L,19198,1.523060008,6.1055393,7.1976085,3.7845318,43,0,0,43,43,825514,0.761530004,167.59,242.87,87.563,9626,0.76533
44,_43_dorsal_intermediate_entorhinal_cortex,DIEnt_R,19198,1.523060008,6.1055393,7.1976085,3.7845318,43,0,0,43,43,825514,0.761530004,167.59,42.132,87.563,9626,0.76533
45,_44_dorsolateral_entorhinal_cortex,DLEnt_L,35956,2.852544309,6.2850547,7.0825567,4.504632,44,0,0,44,44,1582064,1.426272155,164.3,248.47,104.59,17366,1.3807
45,_44_dorsolateral_entorhinal_cortex,DLEnt_R,35956,2.852544309,6.2850547,7.0825567,4.504632,44,0,0,44,44,1582064,1.426272155,164.3,36.535,104.59,17366,1.3807
46,_45_medial_entorhinal_cortex,MEnt_L,10608,0.841578319,6.1113424,6.3301721,3.9291606,45,0,0,45,45,477360,0.42078916,146.72,233.3,91.433,5294,0.42091
46,_45_medial_entorhinal_cortex,MEnt_R,10608,0.841578319,6.1113424,6.3301721,3.9291606,45,0,0,45,45,477360,0.42078916,146.72,51.698,91.433,5294,0.42091
47,_46_ventral_intermediate_entorhinal_cortex,VIEnt_L,17156,1.361059355,6.3170352,6.9339056,3.4958069,46,0,0,46,46,789176,0.680529678,160.21,233.47,81.138,8114,0.64512
47,_46_ventral_intermediate_entorhinal_cortex,VIEnt_R,17156,1.361059355,6.3170352,6.9339056,3.4958069,46,0,0,46,46,789176,0.680529678,160.21,51.534,81.138,8114,0.64512
48,_47_claustrum,Cl_L,3494,0.277194065,6.0841584,12.124052,4.849225,47,8.94E-07,8.00E-13,47,47,164218,0.138597033,282.15,195,114.15,1788,0.14216
48,_47_claustrum,Cl_R,3494,0.277194065,6.0841584,12.124052,4.849225,47,8.94E-07,8.00E-13,47,47,164218,0.138597033,282.15,90.002,114.15,1788,0.14216
49,_48_dorsal_claustrum,DCl_L,1622,0.128680244,5.9887843,10.502413,4.833405,48,0,0,48,48,77856,0.064340122,243.05,228.84,112.18,833,0.066229
49,_48_dorsal_claustrum,DCl_R,1622,0.128680244,5.9887843,10.502413,4.833405,48,0,0,48,48,77856,0.064340122,243.05,56.163,112.18,833,0.066229
50,_49_posterolateral_cortical_amygdaloid_area,PLCo_L,25271,2.004857249,6.1981678,8.5274534,2.3992617,49,0,0,49,49,1238279,1.002428625,197.06,219.43,55.898,12293,0.97738
50,_49_posterolateral_cortical_amygdaloid_area,PLCo_R,25271,2.004857249,6.1981678,8.5274534,2.3992617,49,0,0,49,49,1238279,1.002428625,197.06,65.568,55.898,12293,0.97738
51,_50_Ventral_Claustrum,VCl_L,4524,0.358908401,6.6542726,10.602923,4.5771537,50,0,0,50,50,226200,0.179454201,245.15,226.44,106.47,1906,0.15154
51,_50_Ventral_Claustrum,VCl_R,4524,0.358908401,6.6542726,10.602923,4.5771537,50,0,0,50,50,226200,0.179454201,245.15,58.558,106.47,1906,0.15154
52,_51_Hippocampus,Hc_L,384429,30.49840795,6.0902538,7.7217031,5.6604509,51,0,0,51,51,19605880,15.24920398,179.39,201.87,131.58,1.92E+05,15.304
52,_51_Hippocampus,Hc_R,384429,30.49840795,6.0902538,7.7217031,5.6604509,51,0,0,51,51,19605880,15.24920398,179.39,83.134,131.58,1.92E+05,15.304
53,_52_dorsal_tenia_tecta,DTT_L,7157,0.567795629,6.1147809,12.605872,4.9519343,52,0,0,52,52,372164,0.283897815,293.54,147.49,116.1,3429,0.27263
53,_52_dorsal_tenia_tecta,DTT_R,7157,0.567795629,6.1147809,12.605872,4.9519343,52,0,0,52,52,372164,0.283897815,293.54,137.51,116.1,3429,0.27263
54,_53_ectorhinal_cortex,Ect_L,38788,3.077219064,6.1889329,7.4381599,5.4883699,53,0,0,53,53,2055764,1.538609532,173.05,245.46,127.46,19259,1.5312
54,_53_ectorhinal_cortex,Ect_R,38788,3.077219064,6.1889329,7.4381599,5.4883699,53,0,0,53,53,2055764,1.538609532,173.05,39.538,127.46,19259,1.5312
55,_54_parasubiculum,PaS_L,15874,1.259352774,6.2432647,6.1107688,5.4276495,54,0,0,54,54,857196,0.629676387,141.87,207.13,126.73,7600,0.60425
55,_54_parasubiculum,PaS_R,15874,1.259352774,6.2432647,6.1107688,5.4276495,54,0,0,54,54,857196,0.629676387,141.87,77.866,126.73,7600,0.60425
56,_55_perirhinal_cortex,PRh_L,30049,2.383916563,6.4173975,7.5207791,4.9563184,55,0,0,55,55,1652695,1.191958282,174.17,249.59,115.3,14126,1.1231
56,_55_perirhinal_cortex,PRh_R,30049,2.383916563,6.4173975,7.5207791,4.9563184,55,0,0,55,55,1652695,1.191958282,174.17,35.408,115.3,14126,1.1231
57,_56_presubiculum,PrS_L,1893,0.150179841,5.8108807,6.3668118,5.9200678,56,0,0,56,56,106008,0.075089921,148.29,202.35,138.22,1055,0.08388
57,_56_presubiculum,PrS_R,1893,0.150179841,5.8108807,6.3668118,5.9200678,56,0,0,56,56,106008,0.075089921,148.29,82.653,138.22,1055,0.08388
58,_57_Piriform_Cortex,Pir_L,680527,53.9891373,6.0660005,13.146106,4.7437859,57,0,0,57,57,38790040,26.99456865,303.96,184.04,109.96,3.42E+05,27.166
58,_57_Piriform_Cortex,Pir_R,680527,53.9891373,6.0660005,13.146106,4.7437859,57,0,0,57,57,38790040,26.99456865,303.96,100.96,109.96,3.42E+05,27.166
59,_58_Amygdalopiriform_Transition_Area,APir_L,3952,0.313529178,5.8017483,7.7915173,2.9204636,58,0,0,58,58,229216,0.156764589,182.27,238.87,67.018,2119,0.16848
59,_58_Amygdalopiriform_Transition_Area,APir_R,3952,0.313529178,5.8017483,7.7915173,2.9204636,58,0,0,58,58,229216,0.156764589,182.27,46.135,67.018,2119,0.16848
60,_59_Hypothalamus,Hyp_L,119233,9.459267315,6.0911551,9.2408104,3.0323799,59,1.00E-06,1.00E-12,59,59,7034747,4.729633658,214.98,156.92,71.558,59094,4.6984
60,_59_Hypothalamus,Hyp_R,119233,9.459267315,6.0911551,9.2408104,3.0323799,59,1.00E-06,1.00E-12,59,59,7034747,4.729633658,214.98,128.08,71.558,59094,4.6984
61,_60_Preoptic_Telencephalon,Preopt_L,69344,5.50135812,6.1363587,11.059151,3.298377,60,0,0,60,60,4160640,2.75067906,256.87,165.31,77.374,33739,2.6825
61,_60_Preoptic_Telencephalon,Preopt_R,69344,5.50135812,6.1363587,11.059151,3.298377,60,0,0,60,60,4160640,2.75067906,256.87,119.69,77.374,33739,2.6825
62,_61_Subthalamic_Nucleus,Sthal_L,5786,0.459028295,6.2204952,8.5059376,3.7883079,61,0,0,61,61,352946,0.229514148,196.46,174.75,88.511,2699,0.21459
62,_61_Subthalamic_Nucleus,Sthal_R,5786,0.459028295,6.2204952,8.5059376,3.7883079,61,0,0,61,61,352946,0.229514148,196.46,110.25,88.511,2699,0.21459
63,_62_Septum,SPT_L,86080,6.829097066,6.094461,11.459157,4.4269285,62,0,0,62,62,5336960,3.414548533,265.94,156.16,104.21,42414,3.3722
63,_62_Septum,SPT_R,86080,6.829097066,6.094461,11.459157,4.4269285,62,0,0,62,62,5336960,3.414548533,265.94,128.84,104.21,42414,3.3722
64,_63_Globus_Pallidus,GP_L,29485,2.339172014,6.1565676,10.030157,4.3692832,63,1.01E-06,1.01E-12,63,63,1857555,1.169586007,232.45,193.84,102.4,14177,1.1272
64,_63_Globus_Pallidus,GP_R,29485,2.339172014,6.1565676,10.030157,4.3692832,63,1.01E-06,1.01E-12,63,63,1857555,1.169586007,232.45,91.162,102.4,14177,1.1272
65,_64_Striatum,Cpu_L,327351,25.97016442,6.0631309,10.723699,5.1716781,64,0,0,64,64,20950464,12.98508221,248.76,196.91,120.92,1.65E+05,13.086
65,_64_Striatum,Cpu_R,327351,25.97016442,6.0631309,10.723699,5.1716781,64,0,0,64,64,20950464,12.98508221,248.76,88.087,120.92,1.65E+05,13.086
66,_65_Amygdala,Amy_L,141702,11.24182984,6.1827779,9.074007,3.0880749,65,0,0,65,65,9210630,5.62091492,210.83,202.07,71.57,69014,5.4871
66,_65_Amygdala,Amy_R,141702,11.24182984,6.1827779,9.074007,3.0880749,65,0,0,65,65,9210630,5.62091492,210.83,82.935,71.57,69014,5.4871
67,_66_Accumbens,Acb_L,55230,4.381633724,6.0818243,12.044892,3.861819,66,0,0,66,66,3645180,2.190816862,280.14,170.55,91.097,27727,2.2045
67,_66_Accumbens,Acb_R,55230,4.381633724,6.0818243,12.044892,3.861819,66,0,0,66,66,3645180,2.190816862,280.14,114.45,91.097,27727,2.2045
68,_67_Bed_Nucleus_of_the_Stria_Terminalis,BNst_L,6455,0.512102946,5.9384689,10.7548,4.5425758,67,0,0,67,67,432485,0.256051473,250.1,164.34,106.44,3669,0.29171
